DateKey,Date,Day,DayName,Month,MonthName,Quarter,Year,WeekOfYear,DayOfWeek,IsWeekend,IsPublicHoliday,HolidayName,Season
20230502,2023-05-02,2,Tuesday,5,May,Q2,2023,18,2,0,0,,Southwest Monsoon
20230503,2023-05-03,3,Wednesday,5,May,Q2,2023,18,3,0,0,,Southwest Monsoon
20230504,2023-05-04,4,Thursday,5,May,Q2,2023,18,4,0,1,Wesak Day,Southwest Monsoon
20230505,2023-05-05,5,Friday,5,May,Q2,2023,18,5,0,0,,Southwest Monsoon
20230506,2023-05-06,6,Saturday,5,May,Q2,2023,18,6,1,0,,Southwest Monsoon
20230507,2023-05-07,7,Sunday,5,May,Q2,2023,18,7,1,0,,Southwest Monsoon
20230508,2023-05-08,8,Monday,5,May,Q2,2023,19,1,0,0,,Southwest Monsoon
20230509,2023-05-09,9,Tuesday,5,May,Q2,2023,19,2,0,0,,Southwest Monsoon
20230510,2023-05-10,10,Wednesday,5,May,Q2,2023,19,3,0,0,,Southwest Monsoon
20230511,2023-05-11,11,Thursday,5,May,Q2,2023,19,4,0,0,,Southwest Monsoon
20230512,2023-05-12,12,Friday,5,May,Q2,2023,19,5,0,0,,Southwest Monsoon
20230513,2023-05-13,13,Saturday,5,May,Q2,2023,19,6,1,0,,Southwest Monsoon
20230514,2023-05-14,14,Sunday,5,May,Q2,2023,19,7,1,0,,Southwest Monsoon
20230515,2023-05-15,15,Monday,5,May,Q2,2023,20,1,0,0,,Southwest Monsoon
20230516,2023-05-16,16,Tuesday,5,May,Q2,2023,20,2,0,0,,Southwest Monsoon
20230517,2023-05-17,17,Wednesday,5,May,Q2,2023,20,3,0,0,,Southwest Monsoon
20230518,2023-05-18,18,Thursday,5,May,Q2,2023,20,4,0,0,,Southwest Monsoon
20230519,2023-05-19,19,Friday,5,May,Q2,2023,20,5,0,0,,Southwest Monsoon
20230520,2023-05-20,20,Saturday,5,May,Q2,2023,20,6,1,0,,Southwest Monsoon
20230521,2023-05-21,21,Sunday,5,May,Q2,2023,20,7,1,0,,Southwest Monsoon
20230522,2023-05-22,22,Monday,5,May,Q2,2023,21,1,0,0,,Southwest Monsoon
20230523,2023-05-23,23,Tuesday,5,May,Q2,2023,21,2,0,0,,Southwest Monsoon
20230524,2023-05-24,24,Wednesday,5,May,Q2,2023,21,3,0,0,,Southwest Monsoon
20230525,2023-05-25,25,Thursday,5,May,Q2,2023,21,4,0,0,,Southwest Monsoon
20230526,2023-05-26,26,Friday,5,May,Q2,2023,21,5,0,0,,Southwest Monsoon
20230527,2023-05-27,27,Saturday,5,May,Q2,2023,21,6,1,0,,Southwest Monsoon
20230528,2023-05-28,28,Sunday,5,May,Q2,2023,21,7,1,0,,Southwest Monsoon
20230529,2023-05-29,29,Monday,5,May,Q2,2023,22,1,0,0,,Southwest Monsoon
20230530,2023-05-30,30,Tuesday,5,May,Q2,2023,22,2,0,0,,Southwest Monsoon
20230531,2023-05-31,31,Wednesday,5,May,Q2,2023,22,3,0,0,,Southwest Monsoon
20230601,2023-06-01,1,Thursday,6,June,Q2,2023,22,4,0,0,,Southwest Monsoon
20230602,2023-06-02,2,Friday,6,June,Q2,2023,22,5,0,0,,Southwest Monsoon
20230603,2023-06-03,3,Saturday,6,June,Q2,2023,22,6,1,0,,Southwest Monsoon
20230604,2023-06-04,4,Sunday,6,June,Q2,2023,22,7,1,0,,Southwest Monsoon
20230605,2023-06-05,5,Monday,6,June,Q2,2023,23,1,0,1,Yang di-Pertuan Agong Birthday,Southwest Monsoon
20230606,2023-06-06,6,Tuesday,6,June,Q2,2023,23,2,0,0,,Southwest Monsoon
20230607,2023-06-07,7,Wednesday,6,June,Q2,2023,23,3,0,0,,Southwest Monsoon
20230608,2023-06-08,8,Thursday,6,June,Q2,2023,23,4,0,0,,Southwest Monsoon
20230609,2023-06-09,9,Friday,6,June,Q2,2023,23,5,0,0,,Southwest Monsoon
20230610,2023-06-10,10,Saturday,6,June,Q2,2023,23,6,1,0,,Southwest Monsoon
20230611,2023-06-11,11,Sunday,6,June,Q2,2023,23,7,1,0,,Southwest Monsoon
20230612,2023-06-12,12,Monday,6,June,Q2,2023,24,1,0,0,,Southwest Monsoon
20230613,2023-06-13,13,Tuesday,6,June,Q2,2023,24,2,0,0,,Southwest Monsoon
20230614,2023-06-14,14,Wednesday,6,June,Q2,2023,24,3,0,0,,Southwest Monsoon
20230615,2023-06-15,15,Thursday,6,June,Q2,2023,24,4,0,0,,Southwest Monsoon
20230616,2023-06-16,16,Friday,6,June,Q2,2023,24,5,0,0,,Southwest Monsoon
20230617,2023-06-17,17,Saturday,6,June,Q2,2023,24,6,1,0,,Southwest Monsoon
20230618,2023-06-18,18,Sunday,6,June,Q2,2023,24,7,1,0,,Southwest Monsoon
20230619,2023-06-19,19,Monday,6,June,Q2,2023,25,1,0,0,,Southwest Monsoon
20230620,2023-06-20,20,Tuesday,6,June,Q2,2023,25,2,0,0,,Southwest Monsoon
20230621,2023-06-21,21,Wednesday,6,June,Q2,2023,25,3,0,0,,Southwest Monsoon
20230622,2023-06-22,22,Thursday,6,June,Q2,2023,25,4,0,0,,Southwest Monsoon
20230623,2023-06-23,23,Friday,6,June,Q2,2023,25,5,0,0,,Southwest Monsoon
20230624,2023-06-24,24,Saturday,6,June,Q2,2023,25,6,1,0,,Southwest Monsoon
20230625,2023-06-25,25,Sunday,6,June,Q2,2023,25,7,1,0,,Southwest Monsoon
20230626,2023-06-26,26,Monday,6,June,Q2,2023,26,1,0,0,,Southwest Monsoon
20230627,2023-06-27,27,Tuesday,6,June,Q2,2023,26,2,0,0,,Southwest Monsoon
20230628,2023-06-28,28,Wednesday,6,June,Q2,2023,26,3,0,1,Hari Raya Aidiladha,Southwest Monsoon
20230629,2023-06-29,29,Thursday,6,June,Q2,2023,26,4,0,0,,Southwest Monsoon
20230630,2023-06-30,30,Friday,6,June,Q2,2023,26,5,0,0,,Southwest Monsoon
20230701,2023-07-01,1,Saturday,7,July,Q3,2023,26,6,1,0,,Southwest Monsoon
20230702,2023-07-02,2,Sunday,7,July,Q3,2023,26,7,1,0,,Southwest Monsoon
20230703,2023-07-03,3,Monday,7,July,Q3,2023,27,1,0,0,,Southwest Monsoon
20230704,2023-07-04,4,Tuesday,7,July,Q3,2023,27,2,0,0,,Southwest Monsoon
20230705,2023-07-05,5,Wednesday,7,July,Q3,2023,27,3,0,0,,Southwest Monsoon
20230706,2023-07-06,6,Thursday,7,July,Q3,2023,27,4,0,0,,Southwest Monsoon
20230707,2023-07-07,7,Friday,7,July,Q3,2023,27,5,0,0,,Southwest Monsoon
20230708,2023-07-08,8,Saturday,7,July,Q3,2023,27,6,1,0,,Southwest Monsoon
